Handle,Proposed Title,Product Type,SEO Title,SEO Description,Primary Image URL
k9-coffee-table,Pet Play Bondage Coffee Table,Bondage Furniture,K9 Bondage Coffee Table - Unique Design,"Elevate your space with the K9 Bondage Coffee Table, merging bold aesthetics with functional design for your intimate gatherings.",https://cdn.shopify.com/s/files/1/0716/4844/4554/files/O1CN01UBiDZH20HRdkfEwvU__3923156824-0-cib.jpg?v=1755863487
candlestick-kneeling-punishment-device,Kneeling Punishment Candlestick Stand,Bondage Furniture,Kneeling Punishment Candlestick Stand,"Elevate your power play with this stylish kneeling punishment device, designed for control and deep submission.",https://cdn.shopify.com/s/files/1/0716/4844/4554/files/7_22588aff-6a21-4c5f-a471-5e47f26b3cbd.jpg?v=1755863361
trojans-2,Knotty Accessory Bondage Bench,Bondage Furniture,Knotty Trojans Bondage Bench - Explore Your Desires,Elevate your play with the Knotty Trojans Bondage Bench. Perfect for adventurous exploration and comfort during your intimate sessions.,https://cdn.shopify.com/s/files/1/0716/4844/4554/files/10_39a63ca5-cfb4-435f-9f31-1dc861ba2c6e.jpg?v=1755855925
trojans-1,Accessory Restraint Stand,Restraints,Trojans Restraint Stand for Sensual Play,"Elevate your intimate experiences with the Trojans Restraint Stand, designed for comfort and exploration.",https://cdn.shopify.com/s/files/1/0716/4844/4554/files/O1CN010Avslt20HRfFMpSN4__3923156824-0-cib.jpg?v=1755840533
multifunctional-body-chair,Ergonomic Bondage Body Chair,Bondage Furniture,Ergonomic Bondage Body Chair for Ultimate Pleasure,"Explore new heights of pleasure with this ergonomic bondage chair, designed for comfort and versatility in your intimate adventures.",https://cdn.shopify.com/s/files/1/0716/4844/4554/files/1_bec52e79-581d-4302-bc01-2a6a2a3b1463.jpg?v=1755840035
solid-wood-trojan,Solid Wood Accessory,Bondage Furniture,Solid Wood Trojan for Sensual Bondage Play,"Experience the allure of the Solid Wood Trojan, crafted for strength and elegance in your intimate moments.",https://cdn.shopify.com/s/files/1/0716/4844/4554/files/O1CN01xKhRBi20HRoPCUBQf__3923156824-0-cib.jpg?v=1755833292
silicone-crystal-anal-plug,Crystal-Studded Silicone Anal Plug,Anal Toys,Crystal-Studded Silicone Anal Plug | Knot Knot,"Discover pleasure with our crystal-studded silicone anal plug, designed for comfort and elegance. Perfect for stylish exploration.",https://cdn.shopify.com/s/files/1/0716/4844/4554/files/4_67d95f53-1023-4237-adaa-26a69ef41ef6.jpg?v=1755783637
trojans,Knot Play Accessory,Bondage Furniture,Knot Play Trojans for Passionate Encounters,"Elevate your intimate moments with Knot Play Trojans, designed for safety and pleasure. Perfect for adventurous couples.",https://cdn.shopify.com/s/files/1/0716/4844/4554/files/O1CN01D6Mkqa20HRfFh1Yri__3923156824-0-cib.jpg?v=1755768657
split-leg-restraint,Split Leg Restraint,Restraints,Split Leg Restraint for Enhanced Bondage Play,"Experience ultimate pleasure with our Split Leg Restraint, designed for comfort and control during intimate moments.",https://cdn.shopify.com/s/files/1/0716/4844/4554/files/O1CN013UI4lQ20HRfDrlMKP__3923156824-0-cib.jpg?v=1755768396
triangle-trojan,Triangle Accessory,Bondage Furniture,Triangle Trojan - Elevate Your Bondage Experience,"Explore your desires with the Triangle Trojan, designed for comfort and daring adventures in bondage play.",https://cdn.shopify.com/s/files/1/0716/4844/4554/files/6_b46cc373-4120-4612-aa18-627e7e20a6c8.jpg?v=1755768141
